doc_id,user_id,timestamp
14-107,336,2020-03-01T12:00:01
14-180,201,2020-03-01T12:00:05
14-178,197,2020-03-01T12:00:07
14-155,778,2020-03-01T12:00:10
14-134,378,2020-03-01T12:00:12
14-116,811,2020-03-01T12:00:12
18-188,657,2020-03-01T12:00:12
12-127,748,2020-03-01T12:00:13
18-157,892,2020-03-01T12:00:17
14-126,252,2020-03-01T12:00:19
14-150,166,2020-03-01T12:00:22
14-191,401,2020-03-01T12:00:23
14-160,141,2020-03-01T12:00:27
12-183,393,2020-03-01T12:00:29
18-183,832,2020-03-01T12:00:29
18-181,296,2020-03-01T12:00:31
12-134,897,2020-03-01T12:00:33
18-131,665,2020-03-01T12:00:34
12-111,906,2020-03-01T12:00:36
18-156,625,2020-03-01T12:00:36
14-182,164,2020-03-01T12:00:40
18-170,371,2020-03-01T12:00:44
18-163,810,2020-03-01T12:00:45
18-131,671,2020-03-01T12:00:45
18-113,305,2020-03-01T12:00:45
18-151,874,2020-03-01T12:00:45
14-107,512,2020-03-01T12:00:45
18-165,705,2020-03-01T12:00:48
12-129,158,2020-03-01T12:00:49
14-167,703,2020-03-01T12:00:51
14-165,445,2020-03-01T12:00:55
12-188,376,2020-03-01T12:00:58
12-119,328,2020-03-01T12:01:02
14-155,692,2020-03-01T12:01:04
18-167,573,2020-03-01T12:01:04
14-195,752,2020-03-01T12:01:04
14-189,765,2020-03-01T12:01:06
18-119,561,2020-03-01T12:01:10
14-160,671,2020-03-01T12:01:11
14-133,705,2020-03-01T12:01:15
12-132,314,2020-03-01T12:01:16
14-127,665,2020-03-01T12:01:18
18-113,497,2020-03-01T12:01:20
18-126,425,2020-03-01T12:01:22
18-181,682,2020-03-01T12:01:22
18-101,918,2020-03-01T12:01:24
18-144,221,2020-03-01T12:01:28
18-109,852,2020-03-01T12:01:28
12-185,779,2020-03-01T12:01:32
14-153,711,2020-03-01T12:01:34
12-149,742,2020-03-01T12:01:36
12-177,199,2020-03-01T12:01:36
14-144,484,2020-03-01T12:01:37
12-129,913,2020-03-01T12:01:38
18-160,508,2020-03-01T12:01:39
14-146,989,2020-03-01T12:01:40
12-139,750,2020-03-01T12:01:44
12-194,194,2020-03-01T12:01:44
14-161,749,2020-03-01T12:01:45
12-136,496,2020-03-01T12:01:45
18-165,727,2020-03-01T12:01:48
12-154,360,2020-03-01T12:01:48
14-165,120,2020-03-01T12:01:49
14-146,719,2020-03-01T12:01:50
14-180,596,2020-03-01T12:01:54
18-134,835,2020-03-01T12:01:54
14-125,750,2020-03-01T12:01:55
18-146,944,2020-03-01T12:01:55
12-140,879,2020-03-01T12:01:56
18-159,473,2020-03-01T12:01:58
18-128,462,2020-03-01T12:02:00
14-190,227,2020-03-01T12:02:02
18-190,254,2020-03-01T12:02:02
18-101,253,2020-03-01T12:02:05
14-122,631,2020-03-01T12:02:08
12-110,105,2020-03-01T12:02:11
12-196,585,2020-03-01T12:02:13
14-139,463,2020-03-01T12:02:15
14-125,570,2020-03-01T12:02:17
18-118,706,2020-03-01T12:02:21
18-118,517,2020-03-01T12:02:24
18-119,875,2020-03-01T12:02:27
12-148,727,2020-03-01T12:02:27
14-186,538,2020-03-01T12:02:27
14-109,659,2020-03-01T12:02:28
18-190,935,2020-03-01T12:02:28
18-176,756,2020-03-01T12:02:31
12-126,381,2020-03-01T12:02:35
18-175,170,2020-03-01T12:02:39
14-182,217,2020-03-01T12:02:40
14-118,750,2020-03-01T12:02:42
18-181,547,2020-03-01T12:02:45
14-196,934,2020-03-01T12:02:47
14-159,728,2020-03-01T12:02:48
14-127,400,2020-03-01T12:02:52
18-193,477,2020-03-01T12:02:53
14-169,454,2020-03-01T12:02:54
18-100,915,2020-03-01T12:02:58
14-140,274,2020-03-01T12:02:59
18-166,932,2020-03-01T12:03:03
12-152,576,2020-03-01T12:03:06
14-196,134,2020-03-01T12:03:08
18-161,645,2020-03-01T12:03:08
14-187,453,2020-03-01T12:03:09
18-185,820,2020-03-01T12:03:12
12-162,472,2020-03-01T12:03:14
14-165,791,2020-03-01T12:03:17
18-183,583,2020-03-01T12:03:21
14-175,666,2020-03-01T12:03:23
18-109,345,2020-03-01T12:03:24
18-149,466,2020-03-01T12:03:24
14-160,669,2020-03-01T12:03:28
12-148,325,2020-03-01T12:03:32
12-128,571,2020-03-01T12:03:32
12-172,690,2020-03-01T12:03:33
18-148,908,2020-03-01T12:03:33
12-146,232,2020-03-01T12:03:36
14-173,133,2020-03-01T12:03:38
12-157,103,2020-03-01T12:03:42
18-197,648,2020-03-01T12:03:42
18-117,812,2020-03-01T12:03:46
14-136,873,2020-03-01T12:03:50
18-140,902,2020-03-01T12:03:51
12-134,877,2020-03-01T12:03:53
14-116,624,2020-03-01T12:03:53
18-130,351,2020-03-01T12:03:56
14-183,468,2020-03-01T12:03:58
14-133,287,2020-03-01T12:04:00
14-145,431,2020-03-01T12:04:00
14-122,684,2020-03-01T12:04:03
12-149,196,2020-03-01T12:04:05
18-117,244,2020-03-01T12:04:08
18-153,926,2020-03-01T12:04:10
14-191,335,2020-03-01T12:04:13
14-136,588,2020-03-01T12:04:14
18-153,439,2020-03-01T12:04:14
18-169,349,2020-03-01T12:04:14
14-186,905,2020-03-01T12:04:18
18-101,935,2020-03-01T12:04:22
18-151,644,2020-03-01T12:04:22
12-123,604,2020-03-01T12:04:26
14-196,234,2020-03-01T12:04:26
14-109,696,2020-03-01T12:04:29
14-126,123,2020-03-01T12:04:31
12-145,196,2020-03-01T12:04:33
12-167,395,2020-03-01T12:04:37
12-198,346,2020-03-01T12:04:40
18-174,871,2020-03-01T12:04:40
18-130,869,2020-03-01T12:04:42
12-107,535,2020-03-01T12:04:46
12-191,837,2020-03-01T12:04:48
12-101,180,2020-03-01T12:04:50
12-181,792,2020-03-01T12:04:50
12-187,634,2020-03-01T12:04:52
18-168,436,2020-03-01T12:04:52
14-194,454,2020-03-01T12:04:52
18-147,893,2020-03-01T12:04:56
12-135,386,2020-03-01T12:04:57
18-187,468,2020-03-01T12:04:59
14-185,114,2020-03-01T12:05:02
12-184,393,2020-03-01T12:05:06
18-197,360,2020-03-01T12:05:10
12-121,111,2020-03-01T12:05:11
12-163,371,2020-03-01T12:05:11
12-180,769,2020-03-01T12:05:14
12-164,645,2020-03-01T12:05:16
18-173,658,2020-03-01T12:05:20
18-162,454,2020-03-01T12:05:24
12-103,794,2020-03-01T12:05:24
14-109,305,2020-03-01T12:05:25
18-120,699,2020-03-01T12:05:26
14-172,340,2020-03-01T12:05:29
14-146,331,2020-03-01T12:05:30
18-191,328,2020-03-01T12:05:32
14-164,704,2020-03-01T12:05:32
18-151,383,2020-03-01T12:05:34
12-127,580,2020-03-01T12:05:36
18-128,326,2020-03-01T12:05:39
14-143,296,2020-03-01T12:05:42
14-195,639,2020-03-01T12:05:46
14-179,128,2020-03-01T12:05:50
14-105,874,2020-03-01T12:05:53
14-180,965,2020-03-01T12:05:53
18-120,309,2020-03-01T12:05:53
14-125,152,2020-03-01T12:05:57
18-137,269,2020-03-01T12:06:01
12-176,530,2020-03-01T12:06:03
18-163,641,2020-03-01T12:06:03
18-163,855,2020-03-01T12:06:07
14-187,688,2020-03-01T12:06:11
18-187,111,2020-03-01T12:06:11
14-173,654,2020-03-01T12:06:12
18-124,865,2020-03-01T12:06:16
18-146,340,2020-03-01T12:06:18
14-126,750,2020-03-01T12:06:19
14-134,128,2020-03-01T12:06:19
12-188,234,2020-03-01T12:06:23
12-146,747,2020-03-01T12:06:27
12-106,667,2020-03-01T12:06:28
12-130,628,2020-03-01T12:06:30
18-118,362,2020-03-01T12:06:33
14-130,919,2020-03-01T12:06:36
12-172,929,2020-03-01T12:06:38
14-162,378,2020-03-01T12:06:42
18-152,571,2020-03-01T12:06:45
12-140,270,2020-03-01T12:06:45
14-165,156,2020-03-01T12:06:48
12-183,361,2020-03-01T12:06:49
14-128,994,2020-03-01T12:06:49
14-137,747,2020-03-01T12:06:52
18-182,619,2020-03-01T12:06:55
14-122,520,2020-03-01T12:06:55
18-100,766,2020-03-01T12:06:59
12-136,775,2020-03-01T12:07:01
18-145,980,2020-03-01T12:07:05
18-157,603,2020-03-01T12:07:09
12-149,204,2020-03-01T12:07:12
18-194,260,2020-03-01T12:07:12
14-115,393,2020-03-01T12:07:15
12-131,707,2020-03-01T12:07:17
14-152,863,2020-03-01T12:07:21
14-159,329,2020-03-01T12:07:22
18-179,333,2020-03-01T12:07:22
14-141,336,2020-03-01T12:07:24
14-166,986,2020-03-01T12:07:28
14-177,947,2020-03-01T12:07:28
12-166,500,2020-03-01T12:07:30
18-197,842,2020-03-01T12:07:31
14-198,808,2020-03-01T12:07:32
18-134,391,2020-03-01T12:07:32
18-129,391,2020-03-01T12:07:34
14-168,975,2020-03-01T12:07:34
18-125,934,2020-03-01T12:07:38
18-110,504,2020-03-01T12:07:39
12-123,343,2020-03-01T12:07:41
14-180,695,2020-03-01T12:07:41
14-187,546,2020-03-01T12:07:42
12-156,934,2020-03-01T12:07:42
12-133,773,2020-03-01T12:07:42
14-179,341,2020-03-01T12:07:43
18-167,133,2020-03-01T12:07:46
14-197,354,2020-03-01T12:07:50
18-172,772,2020-03-01T12:07:52
18-158,396,2020-03-01T12:07:52
12-125,747,2020-03-01T12:07:55
12-196,718,2020-03-01T12:07:57
12-117,460,2020-03-01T12:07:59
14-196,492,2020-03-01T12:08:03
18-180,604,2020-03-01T12:08:03
18-187,337,2020-03-01T12:08:03
12-113,209,2020-03-01T12:08:07
14-127,224,2020-03-01T12:08:08
12-175,454,2020-03-01T12:08:12
14-150,617,2020-03-01T12:08:14
14-108,313,2020-03-01T12:08:14
12-163,402,2020-03-01T12:08:14
14-149,802,2020-03-01T12:08:14
12-160,198,2020-03-01T12:08:17
18-128,276,2020-03-01T12:08:19
12-193,567,2020-03-01T12:08:22
18-111,346,2020-03-01T12:08:24
18-146,739,2020-03-01T12:08:24
12-157,835,2020-03-01T12:08:26
12-117,207,2020-03-01T12:08:27
18-179,615,2020-03-01T12:08:28
18-109,466,2020-03-01T12:08:31
14-126,937,2020-03-01T12:08:34
18-137,736,2020-03-01T12:08:36
12-109,182,2020-03-01T12:08:37
12-169,404,2020-03-01T12:08:41
18-116,230,2020-03-01T12:08:41
14-107,544,2020-03-01T12:08:41
12-108,310,2020-03-01T12:08:42
14-104,902,2020-03-01T12:08:44
18-188,989,2020-03-01T12:08:47
14-169,878,2020-03-01T12:08:51
12-103,473,2020-03-01T12:08:55
14-120,171,2020-03-01T12:08:55
14-153,863,2020-03-01T12:08:56
12-176,623,2020-03-01T12:08:56
12-133,344,2020-03-01T12:08:57
12-145,606,2020-03-01T12:08:57
14-119,225,2020-03-01T12:08:58
14-139,506,2020-03-01T12:08:59
14-101,176,2020-03-01T12:09:00
18-174,114,2020-03-01T12:09:03
18-163,208,2020-03-01T12:09:07
14-130,159,2020-03-01T12:09:09
18-173,606,2020-03-01T12:09:13
18-118,320,2020-03-01T12:09:17
18-187,752,2020-03-01T12:09:20
14-194,491,2020-03-01T12:09:23
12-121,136,2020-03-01T12:09:24
18-196,873,2020-03-01T12:09:25
14-130,132,2020-03-01T12:09:28
18-153,676,2020-03-01T12:09:28
18-168,863,2020-03-01T12:09:32
12-174,602,2020-03-01T12:09:33
14-112,853,2020-03-01T12:09:37
18-194,307,2020-03-01T12:09:40
12-110,173,2020-03-01T12:09:44
14-110,127,2020-03-01T12:09:45
18-155,683,2020-03-01T12:09:45
12-163,363,2020-03-01T12:09:45
18-188,305,2020-03-01T12:09:49
18-146,268,2020-03-01T12:09:51
14-132,984,2020-03-01T12:09:51
18-122,568,2020-03-01T12:09:55
14-122,613,2020-03-01T12:09:55
12-166,692,2020-03-01T12:09:59
12-152,787,2020-03-01T12:10:02
14-126,781,2020-03-01T12:10:06
12-141,718,2020-03-01T12:10:06
12-171,142,2020-03-01T12:10:06
14-148,813,2020-03-01T12:10:09
18-194,866,2020-03-01T12:10:09
14-139,304,2020-03-01T12:10:13
12-134,477,2020-03-01T12:10:14
12-175,782,2020-03-01T12:10:18
12-138,997,2020-03-01T12:10:22
14-191,551,2020-03-01T12:10:22
12-166,919,2020-03-01T12:10:26
14-158,919,2020-03-01T12:10:28
12-173,646,2020-03-01T12:10:30
12-151,137,2020-03-01T12:10:33
14-120,672,2020-03-01T12:10:33
14-172,761,2020-03-01T12:10:33
12-105,256,2020-03-01T12:10:35
14-160,458,2020-03-01T12:10:39
14-193,989,2020-03-01T12:10:39
18-117,434,2020-03-01T12:10:39
18-169,319,2020-03-01T12:10:40
18-163,237,2020-03-01T12:10:41
18-140,703,2020-03-01T12:10:42
14-154,133,2020-03-01T12:10:43
12-154,366,2020-03-01T12:10:44
14-121,236,2020-03-01T12:10:44
18-113,451,2020-03-01T12:10:45
14-140,937,2020-03-01T12:10:48
14-152,615,2020-03-01T12:10:49
14-182,844,2020-03-01T12:10:53
14-167,863,2020-03-01T12:10:55
18-103,833,2020-03-01T12:10:56
14-167,240,2020-03-01T12:10:56
14-146,720,2020-03-01T12:10:57
12-162,730,2020-03-01T12:11:01
14-179,336,2020-03-01T12:11:05
18-106,344,2020-03-01T12:11:09
12-153,898,2020-03-01T12:11:10
18-108,826,2020-03-01T12:11:10
18-112,561,2020-03-01T12:11:12
12-150,793,2020-03-01T12:11:13
12-192,222,2020-03-01T12:11:16
12-147,904,2020-03-01T12:11:19
18-167,617,2020-03-01T12:11:23
18-121,543,2020-03-01T12:11:25
12-159,647,2020-03-01T12:11:25
12-187,170,2020-03-01T12:11:28
18-184,342,2020-03-01T12:11:31
12-160,189,2020-03-01T12:11:32
12-118,818,2020-03-01T12:11:33
18-127,979,2020-03-01T12:11:34
12-179,798,2020-03-01T12:11:36
18-129,204,2020-03-01T12:11:40
18-133,645,2020-03-01T12:11:44
14-130,361,2020-03-01T12:11:44
12-149,476,2020-03-01T12:11:44
12-101,520,2020-03-01T12:11:45
18-170,273,2020-03-01T12:11:45
14-121,879,2020-03-01T12:11:45
14-189,218,2020-03-01T12:11:46
14-102,523,2020-03-01T12:11:48
14-108,245,2020-03-01T12:11:48
